ID	Symbol	Type
27022	FOXD3	protein-coding
29929	ALG6	protein-coding
23421	ITGB3BP	protein-coding
84455	EFCAB7	protein-coding
5236	PGM1	protein-coding
4919	ROR1	protein-coding
148581	UBE2U	protein-coding
57685	CACHD1	protein-coding
55225	RAVER2	protein-coding
3716	JAK1	protein-coding
205	AK4	protein-coding
9829	DNAJC6	protein-coding
3953	LEPR	protein-coding
54741	LEPROT	protein-coding
5142	PDE4B	protein-coding
84251	SGIP1	protein-coding
200132	DYNLT5	protein-coding
10022	INSL5	protein-coding
79819	DNAI4	protein-coding
57708	MIER1	protein-coding
23169	SLC35D1	protein-coding
400757	C1orf141	protein-coding
149233	IL23R	protein-coding
3595	IL12RB2	protein-coding
26135	SERBP1	protein-coding
1647	GADD45A	protein-coding
55970	GNG12	protein-coding
9077	DIRAS3	protein-coding
79971	WLS	protein-coding
6121	RPE65	protein-coding
55635	DEPDC1	protein-coding
57554	LRRC7	protein-coding
55631	LRRC40	protein-coding
9295	SRSF11	protein-coding
81573	ANKRD13C	protein-coding
1491	CTH	protein-coding
5733	PTGER3	protein-coding
9406	ZRANB2	protein-coding
257194	NEGR1	protein-coding
127255	LRRIQ3	protein-coding
100526835	FPGT-TNNI3K	protein-coding
8790	FPGT	protein-coding
51086	TNNI3K	protein-coding
105378803	LRRC53	protein-coding
127254	ERICH3	protein-coding
1429	CRYZ	protein-coding
127253	TYW3	protein-coding
431707	LHX8	protein-coding
204962	SLC44A5	protein-coding
34	ACADM	protein-coding
5876	RABGGTB	protein-coding
4438	MSH4	protein-coding
127247	ASB17	protein-coding
256435	ST6GALNAC3	protein-coding
81849	ST6GALNAC5	protein-coding
10026	PIGK	protein-coding
26289	AK5	protein-coding
26009	ZZZ3	protein-coding
23032	USP33	protein-coding
374986	MIGA1	protein-coding
91624	NEXN	protein-coding
8880	FUBP1	protein-coding
11080	DNAJB4	protein-coding
54810	GIPC2	protein-coding
5737	PTGFR	protein-coding
10964	IFI44L	protein-coding
10561	IFI44	protein-coding
64123	ADGRL4	protein-coding
23266	ADGRL2	protein-coding
107985043	LOC107985043	protein-coding
79739	TTLL7	protein-coding
5567	PRKACB	protein-coding
148418	SAMD13	protein-coding
58511	DNASE2B	protein-coding
80135	RPF1	protein-coding
2787	GNG5	protein-coding
100505741	SPATA1	protein-coding
1486	CTBS	protein-coding
117178	SSX2IP	protein-coding
23566	LPAR3	protein-coding
255231	MCOLN2	protein-coding
55283	MCOLN3	protein-coding
126820	DNAI3	protein-coding
84144	SYDE2	protein-coding
148423	C1orf52	protein-coding
8915	BCL10	protein-coding
23576	DDAH1	protein-coding
3491	CCN1	protein-coding
54680	ZNHIT6	protein-coding
255631	COL24A1	protein-coding
57489	ODF2L	protein-coding
9635	CLCA2	protein-coding
1179	CLCA1	protein-coding
22802	CLCA4	protein-coding
51100	SH3GLB1	protein-coding
9403	SELENOF	protein-coding
9653	HS2ST1	protein-coding
8543	LMO4	protein-coding
5586	PKN2	protein-coding
2959	GTF2B	protein-coding
56267	KYAT3	protein-coding
494115	RBMXL1	protein-coding
2635	GBP3	protein-coding
2633	GBP1	protein-coding
2634	GBP2	protein-coding
388646	GBP7	protein-coding
115361	GBP4	protein-coding
115362	GBP5	protein-coding
163351	GBP6	protein-coding
23507	LRRC8B	protein-coding
84230	LRRC8C	protein-coding
55144	LRRC8D	protein-coding
284695	ZNF326	protein-coding
343472	BARHL2	protein-coding
84146	ZNF644	protein-coding
164045	HFM1	protein-coding
8317	CDC7	protein-coding
7049	TGFBR3	protein-coding
676	BRDT	protein-coding
253152	EPHX4	protein-coding
646817	SETSIP	protein-coding
284697	BTBD8	protein-coding
388649	C1orf146	protein-coding
11146	GLMN	protein-coding
79871	RPAP2	protein-coding
2672	GFI1	protein-coding
7813	EVI5	protein-coding
6125	RPL5	protein-coding
388650	DIPK1A	protein-coding
22823	MTF2	protein-coding
50999	TMED5	protein-coding
343099	CCDC18	protein-coding
1810	DR1	protein-coding
54874	FNBP1L	protein-coding
8412	BCAR3	protein-coding
30836	DNTTIP2	protein-coding
2730	GCLM	protein-coding
24	ABCA4	protein-coding
9411	ARHGAP29	protein-coding
5825	ABCD3	protein-coding
2152	F3	protein-coding
126969	SLC44A3	protein-coding
1266	CNN3	protein-coding
199857	ALG14	protein-coding
